City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Point Pleasant--Gallipolis,OH,94.70,0.90,1.20,2.00,0.60
Port Clinton,OH,93.90,0.40,6.20,2.10,0.10
Portsmouth,OH,92.40,0.30,1.90,3.40,0.90
Russells Point,OH,95.00,0.20,1.60,0.30,0.90
Sabina,OH,92.00,1.10,3.20,0.30,0.30
St. Marys,OH,95.00,0.90,1.00,0.30,0.80
Salem,OH,95.00,0.20,3.00,1.00,0.40
Sandusky,OH,80.00,0.30,4.80,13.10,0.80
Seville,OH,96.20,0.00,2.00,0.30,0.30
Shelby,OH,98.00,0.10,2.00,0.10,0.00
Sidney,OH,89.10,0.30,2.60,6.20,1.70
Springfield,OH,80.50,0.20,2.50,12.80,0.80
Tiffin,OH,93.90,0.20,4.20,2.60,1.20
Toledo,OH,75.20,0.30,6.50,16.80,1.90
Upper Sandusky,OH,96.30,0.00,5.10,0.20,0.00
Urbana,OH,90.30,0.20,3.00,3.60,0.80
Van Wert,OH,95.40,0.00,5.20,2.20,0.60
Versailles,OH,99.10,0.00,0.20,0.20,0.00
Wapakoneta,OH,96.40,0.00,3.90,0.50,0.40
Washington Court House,OH,92.70,0.00,1.40,2.30,1.50
Wauseon,OH,86.00,0.30,16.90,0.20,0.60
Waverly City,OH,97.40,0.00,0.00,1.20,0.20
Wellington,OH,92.20,0.10,4.10,0.70,0.50
West Jefferson,OH,96.50,0.00,1.10,0.10,0.20
West Lafayette,OH,96.20,0.00,1.30,0.20,0.00
West Union,OH,99.30,0.00,0.00,0.40,0.00
Willard,OH,90.20,0.30,12.80,2.20,1.00
Wilmington,OH,87.80,0.00,2.30,6.50,0.40
Wooster,OH,91.60,0.30,2.30,2.90,2.80
Yellow Springs,OH,83.10,0.00,3.20,11.80,1.30
Youngstown,OH,80.50,0.20,4.10,15.00,0.80
Zanesville,OH,87.20,0.40,1.10,5.20,0.40
Ada,OK,66.30,9.30,6.40,3.90,1.60
Altus,OK,65.70,2.00,25.40,9.40,1.30
Alva,OK,85.20,1.40,5.70,4.10,1.10
Anadarko,OK,33.50,45.30,12.40,6.10,1.70
Ardmore,OK,64.50,7.30,10.40,11.60,1.70
Bartlesville,OK,79.50,8.00,7.10,3.20,2.40
Blackwell,OK,82.60,3.10,10.10,0.30,0.00
Blanchard,OK,85.50,8.00,3.10,2.90,0.00
Bristow,OK,77.70,12.70,4.90,5.80,0.00
Broken Bow,OK,53.20,18.60,11.40,5.20,4.80
Cache,OK,61.90,18.30,5.50,3.20,0.80
Chandler,OK,78.50,6.30,3.40,8.00,0.30
Checotah,OK,62.70,17.70,4.60,8.70,0.20
Chickasha,OK,81.70,3.50,9.30,5.90,0.60
Claremore,OK,70.30,14.70,5.60,1.70,0.50
Cleveland,OK,80.20,9.20,3.10,1.10,1.70
Clinton,OK,72.70,3.00,32.10,4.90,2.10
Collinsville,OK,76.20,11.60,3.50,1.00,0.60
Cushing,OK,84.30,6.10,5.60,2.40,0.80
Davis,OK,70.40,8.10,9.80,4.60,0.80
Duncan,OK,80.00,4.10,11.10,3.40,0.90
Durant,OK,69.50,15.40,8.10,2.40,1.10
Elk City,OK,82.60,1.60,17.20,1.00,1.90
El Reno,OK,66.50,11.30,18.00,6.70,1.00
Enid,OK,79.80,2.00,14.00,3.80,4.40
Frederick,OK,60.30,2.00,35.20,8.10,0.00
Grove,OK,82.40,9.30,2.70,0.00,1.60
Guthrie,OK,72.30,4.50,5.30,17.70,0.50
Guymon,OK,52.70,0.50,56.60,3.90,4.90
Harrah,OK,80.70,8.40,4.80,0.90,2.10
Hartshorne,OK,68.20,11.20,4.20,1.90,0.10
Heavener,OK,70.60,7.10,29.30,1.10,2.40
Henryetta,OK,71.40,12.00,4.30,0.70,1.30
Hobart,OK,70.10,2.80,17.20,4.30,0.90
Holdenville,OK,61.80,19.70,6.90,12.30,0.00
Hominy,OK,56.30,20.40,7.00,11.10,0.00
Hugo,OK,55.30,11.60,5.40,22.50,0.30
Idabel,OK,47.00,12.20,10.70,21.20,2.20
Kingfisher,OK,85.50,0.70,13.20,2.00,0.00
Lawton,OK,59.00,5.00,14.00,20.60,3.50
Lindsay,OK,87.90,5.90,5.50,0.60,0.00
McAlester,OK,68.10,6.40,7.90,5.60,0.80
Madill,OK,50.60,4.10,43.10,4.10,0.60
Mangum,OK,80.70,0.80,17.20,3.00,0.00
Mannford,OK,81.90,12.60,1.00,1.70,0.50
Marlow,OK,86.00,8.70,4.40,0.70,0.00
Miami,OK,67.50,11.70,8.60,1.80,2.00
Muldrow--Roland,OK,63.50,13.40,5.10,4.10,2.70
Muskogee,OK,55.90,17.00,7.30,14.40,0.80
New Cordell,OK,94.30,2.00,10.90,0.10,0.70
Norman,OK,77.90,3.50,8.10,4.70,5.00
Nowata,OK,64.80,18.50,2.70,5.00,0.40
Okemah,OK,65.30,16.60,5.30,3.70,0.00
Oklahoma City,OK,70.60,2.80,15.70,12.90,3.70
Okmulgee,OK,53.20,18.70,4.80,16.90,0.50
Pauls Valley,OK,79.60,5.20,19.40,5.80,0.10
Pawhuska,OK,56.60,29.00,2.40,3.10,0.00
Perry,OK,90.00,1.80,2.30,1.50,0.00
Ponca City,OK,77.10,8.40,9.00,3.30,0.80
Poteau,OK,77.70,8.00,15.40,2.20,0.70
Pryor Creek,OK,71.50,12.40,5.00,0.70,1.30
Purcell,OK,84.50,6.30,13.00,2.80,0.40
Sallisaw,OK,62.30,21.50,5.50,0.70,0.10
Sayre,OK,69.10,3.20,19.20,14.10,0.40
Seminole,OK,63.60,22.70,6.30,6.20,0.00
Shawnee,OK,72.20,16.70,6.30,4.20,0.90
Skiatook,OK,76.60,12.30,1.40,2.60,0.00
Stigler,OK,79.20,7.00,4.40,1.50,1.30
Stillwater,OK,78.10,5.00,5.20,5.10,7.20
Stilwell,OK,31.40,46.40,13.30,0.30,1.60
Sulphur,OK,73.00,11.80,5.40,1.60,0.00
Tahlequah,OK,54.70,31.70,7.50,1.80,1.40
Tonkawa,OK,80.00,6.20,8.00,0.70,1.10
Tulsa,OK,70.00,4.90,11.90,10.10,3.10
Tuttle,OK,87.00,0.90,9.10,2.60,2.00
Vinita,OK,61.80,19.00,3.20,5.30,1.10
Wagoner,OK,67.10,12.70,2.80,7.50,0.40
Walters,OK,71.20,14.70,11.30,0.00,0.00
Watonga,OK,63.40,6.50,24.90,12.00,0.00
Weatherford,OK,81.20,2.50,12.10,3.30,1.30
Wewoka,OK,48.20,24.70,6.00,16.10,0.00
Wilburton,OK,68.10,19.50,6.20,2.60,1.40
Woodward,OK,87.10,1.60,14.80,0.40,0.30
Albany,OR,90.10,0.80,13.10,0.60,2.10
Astoria,OR,89.50,1.20,10.10,0.70,1.00
Aumsville,OR,90.50,2.80,9.30,0.00,0.60
Baker City,OR,91.50,1.20,4.00,1.00,1.40
Bandon,OR,94.60,3.30,3.50,1.10,0.20
Bend,OR,93.20,0.30,8.80,0.60,1.80
Boardman,OR,85.10,2.60,56.40,0.00,0.60
Brookings,OR,88.80,3.30,8.40,0.60,0.70
Burns,OR,93.80,2.70,3.50,0.40,0.10
Canby,OR,87.50,0.70,17.40,0.10,1.60
Carlton,OR,90.60,0.40,7.80,0.00,0.70
Coos Bay,OR,84.10,2.80,9.10,1.90,1.80
Coquille,OR,94.40,0.70,3.60,0.20,0.20
Corvallis,OR,84.30,0.50,7.90,1.20,8.80
Cottage Grove,OR,92.20,0.70,9.30,0.10,0.30
Creswell,OR,91.20,1.50,6.20,0.00,0.50
Dallas,OR,92.80,0.60,4.70,0.10,2.10
Estacada,OR,93.10,1.20,10.00,0.00,0.50
Eugene,OR,85.70,1.10,9.60,1.50,3.60
Florence,OR,93.50,1.00,2.20,0.40,1.70
Gold Beach,OR,93.10,1.10,1.70,0.00,1.70
Grants Pass,OR,90.60,1.20,8.10,0.50,0.60
Harrisburg,OR,81.40,0.30,17.40,0.00,0.30
Hermiston,OR,87.40,1.30,41.20,0.40,0.40
Hood River,OR,91.10,0.20,21.50,0.10,1.80
Irrigon,OR,79.80,1.10,33.40,1.00,1.80
Junction City,OR,92.20,0.40,12.00,0.60,1.50
Klamath Falls--Altamont,OR,87.10,3.10,13.80,0.90,1.20
La Grande,OR,90.00,1.30,3.90,1.30,3.10
Lakeview,OR,88.70,3.50,10.30,0.00,1.00
La Pine Northwest,OR,95.70,1.40,0.00,2.20,0.00
Lebanon,OR,92.10,1.80,5.30,0.20,1.20
Lincoln City,OR,86.60,2.70,11.10,0.40,3.20
McMinnville,OR,87.20,0.50,23.90,1.40,1.90
Madras,OR,74.20,5.40,38.10,0.90,1.30
Medford,OR,90.30,1.00,14.30,0.70,1.80
Molalla,OR,90.10,0.60,14.50,0.00,1.70
Monmouth--Independence,OR,87.00,0.70,23.70,2.10,2.40
Mount Angel,OR,81.30,0.00,32.60,0.50,1.20
Mount Hood Village,OR,96.90,0.00,6.90,0.00,1.50
Newberg,OR,88.40,1.10,13.40,0.20,1.90
Newport,OR,84.80,1.60,15.10,1.20,1.40
Nyssa,OR,91.30,0.10,62.90,0.40,0.40
Oakridge,OR,88.60,2.10,2.70,0.00,0.00
Ontario,OR,86.40,0.70,32.30,0.60,1.00
Pendleton,OR,84.00,2.80,9.90,1.80,1.80
Portland,OR,79.70,0.70,12.20,3.30,7.90
Prineville,OR,88.80,1.00,12.20,0.90,1.30
Redmond,OR,89.80,0.70,12.20,0.80,1.10
Reedsport,OR,92.60,1.60,4.00,0.70,1.10
Roseburg,OR,92.80,1.10,7.00,0.50,1.00
St. Helens,OR,92.30,1.30,6.00,0.30,2.00
Salem,OR,80.90,1.10,24.70,1.50,3.80
Sandy,OR,93.60,0.60,10.30,0.70,0.80
Seaside,OR,89.90,0.00,7.30,0.90,1.00
Shady Cove,OR,96.10,0.00,8.10,1.90,0.00
Sheridan,OR,81.80,3.70,11.20,4.30,2.60
Silverton,OR,93.30,0.50,10.20,0.00,0.60
Stayton,OR,87.50,0.50,17.40,1.20,0.50
Sutherlin,OR,94.20,0.90,3.90,0.70,1.20
Sweet Home,OR,93.90,0.20,3.60,0.30,1.40
The Dalles,OR,89.10,1.00,17.20,0.70,1.80
Tillamook,OR,87.10,0.20,19.90,0.10,1.00
Toledo,OR,96.40,0.60,3.80,0.00,0.60
Tri-City--Myrtle Creek,OR,89.40,2.70,5.40,0.10,0.80
Veneta,OR,87.10,0.70,12.00,0.80,2.70
Waldport,OR,94.40,1.30,8.60,0.10,0.50
Woodburn,OR,78.50,0.20,52.50,0.30,0.90
Albion,PA,71.20,0.10,5.40,24.80,0.20
Allentown,PA,81.60,0.30,18.00,6.50,3.10
Altoona,PA,94.50,0.00,1.40,2.10,1.00
Ashland,PA,82.30,1.20,5.20,12.50,0.00
Bedford,PA,96.00,0.50,1.90,1.20,1.00
Bellefonte,PA,97.20,0.20,2.00,1.60,0.30
Blairsville,PA,94.60,0.10,3.40,3.40,0.30
Bloomsburg--Berwick,PA,93.00,0.00,4.10,2.60,2.40
Bonneauville,PA,91.30,0.00,5.30,2.10,3.30
Bradford,PA,95.40,0.00,2.90,1.10,0.60
Brockway,PA,96.80,0.40,0.40,1.10,0.80
Brookville,PA,97.60,0.00,2.30,0.80,0.20
Burgettstown,PA,99.50,0.30,1.20,0.20,0.00
Butler,PA,95.30,0.10,1.60,2.00,0.50
Cambridge Springs,PA,85.90,0.00,3.80,9.40,0.20
Chambersburg,PA,88.30,0.20,10.10,7.20,1.50
Clarion,PA,93.60,0.30,2.20,3.40,1.00
Clearfield,PA,97.40,0.40,1.20,0.40,1.30
Corry,PA,93.30,0.20,0.80,3.40,0.60
Cresson,PA,88.40,0.10,4.60,8.20,1.20
Curwensville,PA,97.20,1.60,1.60,0.10,0.00
DuBois,PA,97.40,0.10,2.40,1.70,0.30
East Prospect,PA,91.70,1.20,1.10,2.60,0.00
East Stroudsburg,PA,73.70,0.60,15.30,14.60,3.70
Ebensburg,PA,96.80,0.00,0.60,2.10,1.10
Edinboro,PA,89.40,0.10,3.40,3.70,2.50
Ellwood City,PA,98.00,0.00,0.30,0.50,0.00
Elverson,PA,97.50,0.00,0.70,0.90,1.20
Emporium,PA,96.20,0.00,1.00,2.20,0.50
Erie,PA,83.90,0.30,4.90,9.20,2.10
Everett,PA,98.60,0.10,0.20,0.70,0.00
Fairdale,PA,98.70,0.00,1.40,0.00,0.00
Franklin (Venango County),PA,96.20,0.00,2.10,1.80,0.30
Greenville,PA,95.60,0.20,1.60,2.40,0.50
Grove City,PA,92.70,0.00,2.10,4.40,0.50
Hanover,PA,89.50,0.00,7.50,2.20,1.30
Harrisburg,PA,77.30,0.20,6.90,12.90,4.50
Hazleton,PA,78.50,0.40,33.10,4.50,0.60
Honesdale,PA,96.40,0.30,5.00,0.80,0.10
Houtzdale,PA,64.70,0.70,7.30,29.80,0.30
Huntingdon,PA,76.80,0.10,4.80,17.10,1.40
Indiana,PA,88.60,0.30,1.80,6.10,2.20
Jersey Shore,PA,96.10,0.00,1.20,2.40,0.40
Jim Thorpe,PA,96.90,0.00,5.40,1.80,0.30
Johnstown,PA,89.90,0.10,2.00,5.30,0.80
Kane,PA,96.10,0.00,2.30,0.20,0.50
Kittanning--Ford City,PA,97.60,0.00,0.70,1.60,0.30
Kutztown,PA,85.00,0.00,5.20,7.70,1.40
Lake Meade,PA,95.80,0.00,2.90,0.00,1.00
Lancaster,PA,85.80,0.20,12.20,5.30,2.70
Lebanon,PA,81.30,0.10,19.20,2.80,1.60
Lewistown,PA,96.30,0.10,2.60,0.80,0.90
Ligonier,PA,98.60,0.00,0.70,0.00,0.00
Littlestown,PA,94.70,0.00,2.30,0.70,0.00
Lock Haven,PA,95.10,0.30,1.30,1.90,0.90
Lykens,PA,97.70,0.00,1.30,0.00,0.40
Mansfield,PA,94.00,0.00,4.40,1.30,1.90
Martinsburg,PA,98.70,0.00,0.00,1.10,0.00
Masontown,PA,89.60,0.00,0.00,5.20,0.00
Meadville,PA,91.10,0.00,2.00,4.40,0.70
Mercer,PA,79.30,0.70,1.40,16.20,0.20
Meyersdale,PA,98.00,0.00,0.20,0.60,0.00
Mifflinburg,PA,98.10,0.00,1.30,1.10,0.40
Mifflintown,PA,92.10,0.10,14.30,1.00,0.00
Millersburg,PA,97.80,1.00,0.40,1.00,0.20
Millsboro,PA,64.80,0.10,4.30,30.50,0.00
Milton--Lewisburg,PA,90.10,0.60,5.50,4.20,1.90
Monessen--California,PA,91.20,0.00,2.10,4.80,0.70
Montgomery,PA,95.30,0.00,2.70,0.00,0.70
Moscow,PA,98.50,0.00,3.00,0.50,0.50
Mount Holly Springs,PA,94.00,0.00,5.00,3.90,0.00
Mount Pocono--Emerald Lakes,PA,59.40,0.70,23.50,28.90,1.90
Mount Union,PA,84.80,0.00,0.80,9.00,1.00
Muncy,PA,91.40,0.20,1.80,6.10,0.10
Nanty-Glo,PA,98.90,0.00,0.50,0.20,0.80
New Castle,PA,88.30,0.00,1.70,6.70,0.50
New Freedom--Shrewsbury,PA,95.40,0.10,2.60,3.50,0.50
Newport,PA,96.40,0.30,3.10,0.40,0.20
New Wilmington,PA,95.20,0.00,2.40,2.30,1.40
North East,PA,93.70,0.00,5.40,2.50,0.00
Northern Cambria,PA,99.60,0.00,0.20,0.00,0.20
Oil City,PA,96.90,0.10,1.10,1.00,0.50
Orwigsburg,PA,96.70,0.10,0.20,0.70,1.60
Patton,PA,99.20,0.00,0.20,0.10,0.00
Philadelphia,PA,65.60,0.20,9.40,22.20,6.10
Philipsburg,PA,89.00,0.00,10.20,6.10,1.40
Pine Grove,PA,96.80,0.00,3.90,1.30,0.00
Pittsburgh,PA,83.90,0.10,1.80,10.30,2.80
Pocono Woodland Lakes,PA,88.60,0.20,10.80,3.40,0.00
Portage,PA,98.70,0.00,0.30,0.50,0.10
Pottstown,PA,86.90,0.10,3.50,7.80,1.50
Pottsville,PA,96.40,0.10,2.40,1.30,0.30
Punxsutawney,PA,97.40,0.60,0.90,1.10,0.40
Quarryville,PA,95.70,0.00,7.00,1.40,0.20
Reading,PA,76.40,1.30,28.50,6.70,1.60
Reynoldsville,PA,96.80,0.00,1.10,1.40,0.60
Ridgway,PA,96.10,0.00,1.30,1.70,0.80
Roaring Spring,PA,98.70,0.00,1.00,0.30,0.40
St. Marys,PA,98.30,0.60,0.00,0.20,0.70
Saw Creek,PA,70.10,0.10,22.10,21.70,4.80
Sayre--Waverly,PA,96.10,0.00,1.40,1.30,0.60
Scranton,PA,90.60,0.20,6.90,4.30,2.00
Shamokin--Mount Carmel,PA,93.20,0.40,3.90,4.40,0.60
Shenandoah--Mahanoy City--Frackville,PA,79.10,0.40,12.10,11.70,1.10
Shippensburg,PA,90.50,0.10,4.20,5.20,1.30
Sierra View--Indian Mountain Lake,PA,80.70,0.00,15.00,11.70,1.60
Slippery Rock,PA,92.60,0.00,1.90,2.40,1.20
Somerset,PA,80.80,0.20,4.90,14.80,0.30
State College,PA,80.30,0.20,4.10,6.20,10.40
Stewartstown,PA,96.70,0.00,1.40,0.20,1.30
Sunbury,PA,95.00,0.00,4.30,1.90,1.00
Susquehanna Depot,PA,96.60,0.00,1.50,0.20,0.60
Tamaqua,PA,96.80,0.00,6.70,1.10,0.10
Titusville,PA,96.50,0.00,1.20,1.70,0.10
Towanda,PA,99.30,0.00,1.30,0.20,0.00
Treasure Lake,PA,98.30,0.00,6.50,0.00,1.00
Tunkhannock,PA,94.80,0.00,1.20,0.80,1.20
Tyrone,PA,95.20,0.20,0.80,1.00,0.20
Union City,PA,99.30,0.30,0.00,0.20,0.10
Uniontown--Connellsville,PA,90.20,0.10,0.60,5.50,0.70
Warren,PA,97.80,0.10,1.30,0.60,0.90
Waynesboro,PA,94.20,0.60,3.00,3.50,1.00
Waynesburg,PA,81.40,0.30,4.30,13.70,0.90
Williamsport,PA,86.80,0.20,2.80,8.80,0.90
Williamstown,PA,96.90,0.00,3.10,0.50,0.10
York,PA,83.60,0.10,10.50,9.40,1.90
Youngsville,PA,98.10,0.30,0.50,0.30,0.00
Charlestown,RI,96.70,0.70,0.00,0.80,0.00
Providence,RI,81.30,0.40,13.90,6.30,3.40
Abbeville,SC,38.70,0.00,1.60,57.80,0.00
Allendale,SC,16.70,0.00,1.60,83.30,0.00
Anderson,SC,70.00,0.30,4.40,26.00,1.10
Andrews,SC,33.80,0.00,7.20,62.60,0.00
Bamberg,SC,43.30,0.30,0.40,56.40,0.00
Barnwell,SC,53.20,1.20,2.00,44.10,0.00
Batesburg-Leesville,SC,53.70,0.30,7.00,43.60,0.00
Beaufort--Port Royal,SC,64.90,0.30,9.80,27.90,1.80
Belton,SC,79.20,0.00,4.60,15.30,0.60
Bennettsville,SC,29.20,0.60,5.50,64.60,0.50
Bishopville,SC,24.70,0.20,3.20,74.40,0.00
Camden,SC,60.40,0.00,2.70,35.90,0.00
Charleston--North Charleston,SC,68.70,0.20,5.90,24.70,2.10
Cheraw,SC,36.60,0.00,2.60,58.90,2.30
Chesnee,SC,79.90,0.00,5.80,10.80,3.30
Chester,SC,32.30,0.00,0.80,65.90,0.40
Clinton,SC,66.30,0.00,4.00,31.50,1.00
Clover,SC,74.70,1.70,5.40,14.70,3.80
Columbia,SC,57.60,0.20,5.50,35.10,2.70
Denmark,SC,6.40,0.00,0.50,92.10,0.40
Dillon,SC,33.30,2.40,2.80,59.40,0.00
Edgefield,SC,34.90,1.70,12.30,56.70,1.10
Florence,SC,51.50,0.20,2.30,44.90,1.80
Gaffney,SC,57.70,0.20,4.90,35.80,0.70
Georgetown,SC,45.30,0.10,0.90,50.20,0.00
Greenville,SC,75.80,0.30,9.30,17.80,2.10
Greenwood,SC,57.80,0.00,7.20,37.10,1.40
Hampton,SC,47.80,0.00,0.20,48.80,1.20
Hardeeville,SC,51.10,0.00,39.60,35.60,1.40
Hartsville,SC,55.80,0.90,1.40,41.90,0.50
Hilton Head Island,SC,83.80,0.30,17.10,7.10,1.10
Honea Path,SC,81.70,0.70,0.90,13.40,0.90
Kingstree,SC,23.00,0.00,0.90,74.10,1.90
Lake City,SC,18.90,0.00,3.60,76.90,1.50
Lake Murray North Shore,SC,98.20,0.20,2.80,0.20,0.40
Lancaster,SC,57.00,0.10,8.80,39.20,0.90
Landrum,SC,84.80,0.10,6.00,14.50,0.20
Laurens,SC,50.30,0.20,11.10,39.70,0.60
Manning,SC,29.90,0.00,0.40,68.60,0.00
Marion,SC,25.50,0.00,0.00,72.30,2.00
Mauldin--Simpsonville,SC,75.40,0.30,6.30,17.00,3.70
Mullins,SC,29.80,0.00,0.60,69.60,0.10
Myrtle Beach--Socastee,SC,82.70,0.40,6.90,11.30,1.50
Newberry,SC,38.90,0.40,7.40,52.30,0.30
Orangeburg,SC,21.40,0.10,3.00,72.90,2.00
Pageland,SC,54.10,1.20,21.80,30.20,0.00
Pawleys Island,SC,83.10,0.40,4.10,11.50,0.20
Ridgeland,SC,47.10,0.00,10.70,49.30,1.00
Rock Hill,SC,64.00,1.00,5.80,28.50,2.10
Saluda,SC,41.20,0.00,47.00,35.40,0.00
Seneca,SC,78.90,0.10,8.40,14.60,1.20
Spartanburg,SC,68.10,0.20,7.30,25.40,2.50
Sumter,SC,47.10,0.30,4.70,47.50,1.50
Sun City Hilton Head,SC,94.30,0.00,2.10,3.80,0.70
Union,SC,52.30,0.00,2.30,42.80,0.00
Walterboro,SC,45.30,0.60,1.20,50.40,2.40
Winnsboro,SC,43.10,0.00,9.20,55.50,0.00
Woodruff,SC,45.30,0.00,8.50,44.10,0.00
York,SC,59.80,0.10,3.20,35.00,0.20
Aberdeen,SD,88.80,4.20,2.30,1.80,3.40
Belle Fourche,SD,94.50,2.10,5.60,0.90,0.00
Box Elder,SD,78.80,4.40,8.70,5.60,2.90
Brandon,SD,97.50,0.10,0.30,0.30,0.60
Brookings,SD,91.30,1.30,2.30,2.10,3.80
Canton,SD,91.60,2.10,1.70,0.70,1.10
Dell Rapids,SD,93.10,1.10,3.30,0.00,0.70
Harrisburg,SD,93.30,0.70,0.80,0.90,0.20
Hot Springs,SD,79.20,9.20,6.80,1.40,3.10
Huron,SD,80.70,1.60,12.40,0.40,13.10
Lead,SD,91.20,2.20,2.10,0.20,2.40
Madison,SD,92.40,0.10,3.20,1.10,3.40
Milbank,SD,94.40,5.10,0.00,0.00,0.00
Mitchell,SD,91.80,3.80,2.80,0.80,0.10
Mobridge,SD,72.40,19.20,1.80,0.10,4.00
North Eagle Butte,SD,4.30,95.20,1.00,0.10,0.00
Pierre,SD,82.50,12.40,3.30,0.50,0.40
Pine Ridge,SD,4.60,94.50,2.40,0.50,0.00
Rapid City,SD,82.00,9.80,4.70,1.20,1.30
Sioux Falls,SD,85.10,2.50,5.00,5.40,2.10
Spearfish,SD,91.90,3.20,3.90,1.20,1.10
Sturgis,SD,93.30,0.90,4.00,0.30,0.40
Tea,SD,98.70,0.00,3.00,0.50,0.00
Vermillion,SD,86.90,3.80,3.10,2.10,3.30
Watertown,SD,94.60,2.00,2.60,0.50,0.60
Winner,SD,83.30,12.80,0.70,0.00,0.00
Yankton,SD,89.50,3.20,4.10,2.80,1.10
Arlington,TN,80.20,0.00,3.60,14.60,1.90
Ashland City,TN,92.70,0.10,3.50,4.30,0.40
Athens,TN,87.00,0.60,5.10,7.20,0.40
Atoka,TN,82.50,1.10,1.60,10.80,2.50
Bells,TN,67.80,0.30,14.70,22.70,0.10
Bolivar,TN,35.00,0.00,0.00,63.30,0.70
Bristol--Bristol,TN,92.60,0.10,1.60,3.80,0.50
Brownsville,TN,33.90,0.00,2.60,63.10,0.20
Camden,TN,96.30,0.00,1.90,3.00,0.00
Carthage,TN,88.40,0.70,3.00,6.10,0.00
Chattanooga,TN,76.90,0.20,5.10,17.90,1.90
Clarksville,TN,67.70,0.80,11.30,22.20,3.00
Cleveland,TN,88.70,0.10,7.10,6.80,1.60
Columbia,TN,75.60,0.10,8.60,19.00,0.90
Cookeville,TN,93.00,0.20,6.50,3.20,1.40
Covington,TN,45.40,0.00,4.10,50.40,0.00
Crossville,TN,95.60,1.30,6.80,1.40,0.30
Dandridge,TN,93.50,1.30,1.50,4.30,0.00
Dayton,TN,91.40,0.80,8.80,4.60,0.60
Dickson,TN,88.60,0.10,5.30,6.20,0.70
Dunlap,TN,85.00,0.60,7.70,0.70,0.00
Dyer,TN,79.00,0.70,1.90,17.00,0.10
Dyersburg,TN,74.90,0.50,3.40,21.30,0.90
Erwin,TN,97.40,0.00,6.10,0.60,0.50
Etowah,TN,90.30,0.00,4.90,7.10,0.00
Fairfield Glade,TN,97.10,0.10,0.80,0.90,0.50
Fairview,TN,95.00,0.70,2.90,2.20,0.20
Fayetteville,TN,76.90,0.00,5.10,19.10,0.30
Greeneville,TN,91.00,0.40,4.10,4.80,0.60
Halls,TN,62.10,0.00,4.70,35.20,0.40
Harriman--Kingston--Rockwood,TN,92.20,0.50,1.60,3.70,1.20
Henderson,TN,75.40,0.10,1.50,20.50,1.30
Hohenwald,TN,88.40,0.00,0.70,2.10,7.70
Humboldt,TN,53.20,0.00,4.60,43.80,0.00
Jackson,TN,52.80,0.10,4.40,43.20,1.30
Jasper,TN,93.30,0.00,0.00,2.10,0.00
Johnson City,TN,90.70,0.30,3.30,4.60,1.70
Kingsport,TN,94.50,0.10,2.10,2.10,0.60
Knoxville,TN,86.50,0.30,4.50,7.90,2.00
Lafayette,TN,98.20,0.10,3.90,0.60,0.00
La Follette,TN,98.50,0.30,1.40,0.10,0.60
Lawrenceburg,TN,87.40,0.60,3.80,6.30,1.70
Lebanon,TN,80.30,0.60,7.20,12.10,2.70
Lewisburg,TN,78.90,0.10,9.50,17.50,0.90
Lexington,TN,84.30,0.00,6.40,14.60,0.60
Livingston,TN,94.80,0.00,5.00,2.20,0.00
McKenzie,TN,83.80,0.00,0.80,12.20,0.20
McMinnville,TN,89.60,0.30,10.10,1.70,1.80
Madisonville,TN,94.30,0.00,3.10,3.80,0.60
Manchester,TN,83.70,1.70,8.90,3.20,0.80
Martin,TN,77.00,0.20,3.50,19.00,0.30
Medina,TN,86.20,0.20,2.00,11.20,0.00
Memphis,TN,41.70,0.20,5.90,51.30,2.30
Milan,TN,67.00,1.20,4.80,22.80,1.50
Monterey,TN,92.60,0.00,26.00,0.90,1.10
Morristown,TN,87.10,0.10,12.50,4.80,0.80
Mountain City,TN,88.20,0.00,2.30,8.40,1.30
Mount Pleasant,TN,82.30,0.00,7.00,16.40,0.00
Murfreesboro,TN,75.80,0.20,6.40,16.00,3.20
Nashville-Davidson,TN,71.00,0.30,9.00,20.70,3.60
Newport,TN,94.90,1.10,2.60,2.90,0.00
New Tazewell,TN,95.80,0.00,1.00,2.10,0.30
Norris,TN,95.90,0.00,0.30,0.40,0.00
Oakland,TN,90.00,0.00,3.40,8.90,0.40
Oneida,TN,96.30,0.40,1.00,2.30,0.00
Paris,TN,79.70,0.50,1.20,18.90,0.10
Pleasant View,TN,93.90,0.60,1.70,0.60,1.70
Portland,TN,94.20,0.10,6.70,2.20,0.20
Pulaski,TN,69.60,0.00,3.90,25.00,0.70
Ripley,TN,39.20,0.90,1.70,54.80,0.80
Rogersville,TN,93.50,0.40,2.80,2.70,0.20
Savannah,TN,89.30,0.00,4.90,8.60,1.50
Selmer,TN,95.30,0.00,6.70,4.60,0.00
Sevierville,TN,90.20,0.70,12.90,0.60,1.80
Shelbyville,TN,73.00,0.00,20.80,13.10,0.20
Smithville,TN,87.30,0.00,15.20,1.10,0.80
South Pittsburg,TN,82.60,1.20,3.00,8.00,0.80
Sparta,TN,90.50,0.00,6.50,4.60,0.10
Springfield,TN,73.00,0.70,13.00,20.70,1.20
Spring Hill,TN,92.20,0.90,7.00,4.00,1.00
Strawberry Plains,TN,97.40,0.00,3.20,0.70,0.00
